# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

expireScanData		expire.c	128	8	serverDb *:db; mstime_t:now; unsigned long:sampled; unsigned long:expired; mstime_t:ttl_sum; ...	TODO(architect): assign canonical Rust type
activeExpireFieldIterator	activeExpireFieldIterator	expire.c	141	2	int:current_db; unsigned long:cursor	TODO(architect): assign canonical Rust type
expireState		expire.c	208	2	unsigned int:current_db; bool:timelimit_exit	TODO(architect): assign canonical Rust type
fifo	fifo	fifo.c	117	3	long:length; fifoBlock *:first; fifoBlock *:last	TODO(architect): assign canonical Rust type
functionsLibEngineStats	functionsLibEngineStats	functions.c	54	2	size_t:n_lib; size_t:n_functions	TODO(architect): assign canonical Rust type
functionsLibCtx	functionsLibCtx	functions.c	59	4	dict *:libraries; dict *:functions; size_t:cache_memory; dict *:engines_stats	TODO(architect): assign canonical Rust type
functionsLibMetaData	functionsLibMetaData	functions.c	66	3	sds:engine; sds:name; sds:code	TODO(architect): assign canonical Rust type
engineInfo	engineInfo	functions.h	60	5	sds:name; ValkeyModule *:engineModule; ValkeyModuleCtx *:module_ctx; scriptingEngine *:engine; client *:c	TODO(architect): assign canonical Rust type
functionInfo	functionInfo	functions.h	70	2	compiledFunction *:compiled_function; functionLibInfo *:li	TODO(architect): assign canonical Rust type
functionLibInfo	functionLibInfo	functions.h	77	4	sds:name; dict *:functions; scriptingEngine *:engine; sds:code	TODO(architect): assign canonical Rust type
ErrorEntry		fuzzer_client.c	65	2	sds:message; sds:command	TODO(architect): assign canonical Rust type
ErrorList		fuzzer_client.c	70	2	list *:errors; int:total_errors	TODO(architect): assign canonical Rust type
ThreadData		fuzzer_client.c	79	6	const char *:host; int:port; int:commands_num; int:thread_id; ErrorList:error_list; ...	TODO(architect): assign canonical Rust type
CommandArgument	CommandArgument	fuzzer_command_generator.c	63	7	sds:name; serverCommandArgType:type; sds:token; int:flags; int:subargCount; ...	TODO(architect): assign canonical Rust type
CommandEntry		fuzzer_command_generator.c	82	6	int:argc; sds *:argv; sds:fullname; int:arity; int:has_subcommands; ...	TODO(architect): assign canonical Rust type
